,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
SPINT2,23685.89852,23538.32014,31889.84535,32091.83711,29743.48048
SPINT3,0,0,0,0,0
SPINT4,1.133079723,0,0,1.135954023,0
SPIRE1,1594.24317,1832.910515,1263.669182,1149.585472,1191.273188
SPIRE2,853.2090311,889.3781702,806.0519426,880.3643681,736.7943071
SPN,73.65018196,99.97693717,119.6260834,131.7706667,121.5751404
SPNS1,1602.174728,1626.708082,1399.435293,1458.564966,1252.468728
SPNS2,2028.212703,2138.048458,1765.90885,1845.925288,1611.482565
SPNS3,44.19010918,71.85842359,16.14002712,7.951678163,12.23910809
SPO11,0,0,0,0,0
SPOCD1,101.977175,90.60409931,53.16714816,52.25388507,41.61296751
SPOCK1,296.8668873,240.5695051,278.1781145,297.6199541,316.5849293
SPOCK2,6.798478335,2.082852858,23.735334,15.90335633,17.13475133
SPOCK3,0,0,0,0,0
SPON1,14.73003639,14.57997,11.39296032,7.951678163,11.42316755
SPON2,2.266159445,2.082852858,1.89882672,0,0
SPOP,1185.20139,1273.664522,1108.914804,1157.53715,1133.341409
SPOPL,2296.752598,2122.427062,2204.537822,2200.342943,2385.810137
SPP1,131.4372478,166.6282286,910.4874122,1008.727173,881.2157826
SPP2,0,0,0,0,0
SPPL2A,2761.315284,2759.780036,2218.779022,2136.729518,2243.020543
SPPL2B,1290.577804,1377.807165,1485.831908,1497.187403,1402.601787
SPPL2C,0,0,0,0,0
SPPL3,1754.00741,1705.85649,2297.580331,2349.15292,2214.462624
SPR,1676.957989,1557.973938,1334.875184,1310.890943,1183.929723
SPRED1,1676.957989,1592.34101,1056.69707,1084.836092,1055.011118
